setting,source_modality,target_modality,model,primary_metric_name,primary_metric_mean,primary_metric_std,Se_mean,Se_std,Sp_mean,Sp_std,macro_f1_mean,macro_f1_std,accuracy_mean,accuracy_std,n_seeds,seeds,n_train,n_test
in_domain,heart,heart,cnn,MAcc,0.852,0.0084,0.9103,0.0089,0.7937,0.0111,0.7743,0.0102,0.8179,0.0097,3,"[1, 2, 42]",33246,626
in_domain,lung,lung,cnn,ICBHI_Score,0.5255,0.0371,0.6444,0.1613,0.4066,0.0913,0.2936,0.0123,0.3773,0.0298,3,"[1, 2, 42]",4262,2636
transfer,heart,lung,cnn,ICBHI_Score,0.5309,0.0131,0.6059,0.1304,0.4558,0.1058,0.3102,0.0023,0.4149,0.0323,3,"[1, 2, 42]",26804,2636
transfer,lung,heart,cnn,MAcc,0.8541,0.0037,0.9333,0.0089,0.7749,0.0157,0.7666,0.0096,0.8078,0.0106,3,"[1, 2, 42]",3273,4167
joint,heart+lung,heart,cnn,MAcc,0.8477,0.0081,0.8769,0.0133,0.8185,0.0244,0.7838,0.0168,0.8307,0.0173,3,"[1, 2, 42]",26804,4167
joint,heart+lung,lung,cnn,ICBHI_Score,0.5535,0.0141,0.4845,0.1469,0.6224,0.1211,0.3131,0.0092,0.4838,0.0536,3,"[1, 2, 42]",3273,2636
in_domain,heart,heart,effnet_b0,MAcc,0.8871,0.0102,0.9462,0.0204,0.828,0.0405,0.8136,0.0279,0.8525,0.0279,3,"[1, 2, 42]",33246,626
in_domain,lung,lung,effnet_b0,ICBHI_Score,0.5555,0.0032,0.5477,0.118,0.5632,0.1182,0.3176,0.0167,0.4604,0.0576,3,"[1, 2, 42]",4262,2636
transfer,heart,lung,effnet_b0,ICBHI_Score,0.5611,0.0087,0.6004,0.0717,0.5218,0.0579,0.33,0.0147,0.4586,0.0135,3,"[1, 2, 42]",26804,2636
transfer,lung,heart,effnet_b0,MAcc,0.887,0.0042,0.9641,0.0222,0.8098,0.0214,0.8037,0.0114,0.8419,0.0128,3,"[1, 2, 42]",3273,4167
joint,heart+lung,heart,effnet_b0,MAcc,0.8732,0.0106,0.8923,0.0204,0.8542,0.0091,0.8182,0.0095,0.8621,0.0079,3,"[1, 2, 42]",26804,4167
joint,heart+lung,lung,effnet_b0,ICBHI_Score,0.521,0.018,0.3519,0.0262,0.6902,0.0281,0.3056,0.0159,0.5033,0.0124,3,"[1, 2, 42]",3273,2636
