feature_set,model,heart,lung,source
A,logreg,0.7944944168734491,0.5069130683442951,original
A,svm,0.8589019851116625,0.5362584596320655,original
A,rf,0.8169199751861043,0.4762915832618434,original
A,xgb,0.8790632754342431,0.5107711371651893,original
A,extratrees,0.7985,0.4676,new
A,adaboost,0.8221,0.5048,new
A,ridge,0.8057,0.5253,new
A,sgd_log,0.7906,0.482,new
A,linsvc,0.802,0.5128,new
B,logreg,0.8248138957816378,0.5328722238108855,original
B,svm,0.8694323821339951,0.5367874845105328,original
B,rf,0.8312965260545906,0.4721892574587741,original
B,xgb,0.9025124069478908,0.5001846821084739,original
B,extratrees,0.81,0.4704,new
B,adaboost,0.8678,0.5034,new
B,ridge,0.8311,0.5329,new
B,sgd_log,0.8188,0.528,new
B,linsvc,0.8295,0.5252,new
