modality,model,trial_idx,learning_rate,batch_size,weight_decay,aug_strength,label_smoothing,imbalance,patience,cnn_widths,p,best_val_score,primary_metric_test,epochs_ran,train_time_s,gpu_id,elapsed_s
heart,cnn,0,0.0020155239477525205,32,0.0,1.0,0.1,class_weight,7,"[16, 32, 64, 128]",0.5,0.9389715193269375,0.8541253101736972,11,137.27242432162166,0,145.7
heart,cnn,1,0.0005284900826900806,16,0.0005591059158392731,1.5,0.0,class_weight,5,"[16, 32, 64, 128]",0.3,0.9343592385122228,0.8598014888337469,13,167.99321322515607,1,175.9
heart,cnn,2,0.0003415611527481345,16,0.0007972669981802706,1.5,0.0,class_weight,7,"[16, 32, 64, 128]",0.3,0.9354774322323096,0.8646557071960298,15,192.1262321807444,2,200.6
heart,cnn,3,0.00032286878541740134,64,1.454501330264798e-05,0.5,0.0,class_weight,10,"[32, 64, 128, 256]",0.3,0.9355289421157684,0.8784274193548387,30,334.762018147856,3,343.2
heart,cnn,4,0.000811719531784851,32,0.0003168908233424762,0.5,0.0,weighted_sampler,7,"[16, 32, 64, 128]",0.3,0.9365076299014874,0.86412841191067,19,213.31067441031337,0,220.5
heart,cnn,6,0.0003406692782103791,32,0.0007829978593601772,1.5,0.05,class_weight,7,"[16, 32, 64, 128]",0.3,0.9389822505526582,0.8568858560794044,14,164.55544406548142,2,172.1
heart,cnn,5,0.0007720498659635566,16,0.000907987174421934,1.0,0.0,weighted_sampler,7,"[32, 64, 128, 256]",0.5,0.9365956259523962,0.8752946650124069,19,255.83446146175265,1,263.4
heart,cnn,8,0.0017855383581951985,32,0.0003875901091579906,1.0,0.1,weighted_sampler,5,"[32, 64, 128, 256]",0.5,0.9342776811967464,0.8621898263027294,16,194.1140828281641,0,201.6
heart,cnn,9,0.0028543638401470075,64,7.447527889997448e-05,1.5,0.0,class_weight,5,"[32, 64, 128, 256]",0.5,0.9352198828150151,0.8558777915632754,15,191.53841065242887,1,198.6
heart,cnn,7,0.002145118532314912,64,0.00014138705726473986,1.5,0.1,class_weight,5,"[32, 64, 128, 256]",0.5,0.9352327602858799,0.8564050868486353,21,269.9695294685662,3,278.0
heart,cnn,12,0.0003952032022348798,64,6.851471937131186e-06,0.5,0.1,weighted_sampler,5,"[16, 32, 64, 128]",0.3,0.9291309853411456,0.854947270471464,10,125.89728030189872,0,133.6
heart,cnn,11,0.0008198306704175173,32,0.0,0.5,0.05,weighted_sampler,10,"[16, 32, 64, 128]",0.5,0.9391861438413496,0.8652140198511167,20,230.61670972034335,3,238.1
heart,cnn,10,0.0012823413088232471,16,3.269223160239931e-06,0.5,0.05,weighted_sampler,10,"[16, 32, 64, 128]",0.5,0.9406713454810809,0.8738368486352357,30,402.8967200368643,2,410.5
