modality,feature_set,model,primary_metric_name,primary_metric,Se,Sp,macro_f1,auc_roc,accuracy,n_train,n_test
heart,A_mfcc_delta,logreg,MAcc,0.7944944168734491,0.8692307692307693,0.719758064516129,0.7061563459108142,0.8493641439205956,0.7507987220447284,33246,626
heart,A_mfcc_delta,svm,MAcc,0.8589019851116625,0.9153846153846154,0.8024193548387096,0.7827184867928734,0.9330490074441689,0.8258785942492013,33246,626
heart,A_mfcc_delta,rf,MAcc,0.8169199751861043,0.6923076923076923,0.941532258064516,0.827048973561244,0.9417726426799008,0.889776357827476,33246,626
heart,A_mfcc_delta,xgb,MAcc,0.8790632754342431,0.9153846153846154,0.842741935483871,0.8158062649805768,0.9499534739454094,0.8578274760383386,33246,626
heart,B_mfcc_delta_spectral,logreg,MAcc,0.8248138957816378,0.9076923076923076,0.7419354838709677,0.7339211114349558,0.8984646401985112,0.7763578274760383,33246,626
heart,B_mfcc_delta_spectral,svm,MAcc,0.8694323821339951,0.9384615384615383,0.8004032258064516,0.7881998792098681,0.9352047146401984,0.829073482428115,33246,626
heart,B_mfcc_delta_spectral,rf,MAcc,0.8312965260545906,0.7230769230769231,0.939516129032258,0.8370126078929513,0.9449596774193548,0.8945686900958466,33246,626
heart,B_mfcc_delta_spectral,xgb,MAcc,0.9025124069478908,0.946153846153846,0.8588709677419355,0.8393625423655384,0.9573045905707196,0.8769968051118211,33246,626
lung,A_mfcc_delta,logreg,ICBHI_Score,0.5069130683442951,0.6561338289962825,0.3576923076923077,0.27301391629583416,,0.34787556904400607,4262,2636
lung,A_mfcc_delta,svm,ICBHI_Score,0.5362584596320655,0.6180297397769516,0.4544871794871795,0.31862128828691816,,0.4241274658573596,4262,2636
lung,A_mfcc_delta,rf,ICBHI_Score,0.47629158326184345,0.10130111524163568,0.8512820512820513,0.22647036567000317,,0.529969650986343,4262,2636
lung,A_mfcc_delta,xgb,ICBHI_Score,0.5107711371651893,0.47026022304832715,0.5512820512820513,0.29682075497907046,,0.4336115326251897,4262,2636
lung,B_mfcc_delta_spectral,logreg,ICBHI_Score,0.5328722238108855,0.6933085501858736,0.37243589743589745,0.29102231095048264,,0.36798179059180575,4262,2636
lung,B_mfcc_delta_spectral,svm,ICBHI_Score,0.5367874845105328,0.6152416356877324,0.4583333333333333,0.3202583964348832,,0.42564491654021247,4262,2636
lung,B_mfcc_delta_spectral,rf,ICBHI_Score,0.47218925745877416,0.09758364312267657,0.8467948717948718,0.24273315967958625,,0.5318664643399089,4262,2636
lung,B_mfcc_delta_spectral,xgb,ICBHI_Score,0.5001846821084739,0.36895910780669144,0.6314102564102564,0.2941828895312255,,0.4601669195751138,4262,2636
