modality,feature_set,model,train_time_s,n_train_segments,n_test_segments,n_train_recordings,n_test_recordings,n_train_patients,n_test_patients,data_volume_mb
heart,A_mfcc_delta,logreg,0.8626937090011779,33246,4167,2500,626,2500,626,74.212
heart,A_mfcc_delta,svm,682.4965011249988,33246,4167,2500,626,2500,626,74.212
heart,A_mfcc_delta,rf,16.514873542000714,33246,4167,2500,626,2500,626,74.212
heart,A_mfcc_delta,xgb,22.073083791998215,33246,4167,2500,626,2500,626,74.212
heart,B_mfcc_delta_spectral,logreg,1.4394360829974175,33246,4167,2500,626,2500,626,74.212
heart,B_mfcc_delta_spectral,svm,658.9337710830005,33246,4167,2500,626,2500,626,74.212
heart,B_mfcc_delta_spectral,rf,15.934008167001592,33246,4167,2500,626,2500,626,74.212
heart,B_mfcc_delta_spectral,xgb,20.992257083002187,33246,4167,2500,626,2500,626,74.212
lung,A_mfcc_delta,logreg,0.21012608299861313,4262,2636,551,369,79,47,13.716
lung,A_mfcc_delta,svm,30.330141667000134,4262,2636,551,369,79,47,13.716
lung,A_mfcc_delta,rf,1.4501367499979096,4262,2636,551,369,79,47,13.716
lung,A_mfcc_delta,xgb,19.6451420830017,4262,2636,551,369,79,47,13.716
lung,B_mfcc_delta_spectral,logreg,0.2653012080008921,4262,2636,551,369,79,47,13.716
lung,B_mfcc_delta_spectral,svm,31.09479191599894,4262,2636,551,369,79,47,13.716
lung,B_mfcc_delta_spectral,rf,1.392770541999198,4262,2636,551,369,79,47,13.716
lung,B_mfcc_delta_spectral,xgb,26.25367762499809,4262,2636,551,369,79,47,13.716
